River,Year,Fraction,Unit,Value,,,
Sandusky,2008,Annual TP Loading,Metric Tons,877,,2008,661
Sandusky,2009,Annual TP Loading,Metric Tons,368,,2009,661
Sandusky,2010,Annual TP Loading,Metric Tons,345,,2010,661
Sandusky,2011,Annual TP Loading,Metric Tons,938,,2011,661
Sandusky,2012,Annual TP Loading,Metric Tons,640,,2012,661
Sandusky,2013,Annual TP Loading,Metric Tons,642,,2013,661
Sandusky,2014,Annual TP Loading,Metric Tons,558,,2014,661
Sandusky,2015,Annual TP Loading,Metric Tons,352,,2015,661
Sandusky,2016,Annual TP Loading,Metric Tons,295,,2016,661
Sandusky,2008,Annual DRP Loading,Metric Tons,187.0,,,
Sandusky,2009,Annual DRP Loading,Metric Tons,70.7,,,
Sandusky,2010,Annual DRP Loading,Metric Tons,74.0,,,
Sandusky,2011,Annual DRP Loading,Metric Tons,194,,,
Sandusky,2012,Annual DRP Loading,Metric Tons,181,,,
Sandusky,2013,Annual DRP Loading,Metric Tons,153,,,
Sandusky,2014,Annual DRP Loading,Metric Tons,160,,,
Sandusky,2015,Annual DRP Loading,Metric Tons,98.7,,,
Sandusky,2016,Annual DRP Loading,Metric Tons,63.8,,,
Sandusky,2008,Annual TP FWMC,milligrams / liter,0.460,,,
Sandusky,2009,Annual TP FWMC,milligrams / liter,0.389,,,
Sandusky,2010,Annual TP FWMC,milligrams / liter,0.391,,,
Sandusky,2011,Annual TP FWMC,milligrams / liter,0.494,,,
Sandusky,2012,Annual TP FWMC,milligrams / liter,0.421,,,
Sandusky,2013,Annual TP FWMC,milligrams / liter,0.431,,,
Sandusky,2014,Annual TP FWMC,milligrams / liter,0.394,,,
Sandusky,2015,Annual TP FWMC,milligrams / liter,0.332,,,
Sandusky,2016,Annual TP FWMC,milligrams / liter,0.340,,,
Sandusky,2008,Annual DRP FWMC,milligrams / liter,0.098,,,
Sandusky,2009,Annual DRP FWMC,milligrams / liter,0.075,,,
Sandusky,2010,Annual DRP FWMC,milligrams / liter,0.084,,,
Sandusky,2011,Annual DRP FWMC,milligrams / liter,0.102,,,
Sandusky,2012,Annual DRP FWMC,milligrams / liter,0.119,,,
Sandusky,2013,Annual DRP FWMC,milligrams / liter,0.103,,,
Sandusky,2014,Annual DRP FWMC,milligrams / liter,0.113,,,
Sandusky,2015,Annual DRP FWMC,milligrams / liter,0.093,,,
Sandusky,2016,Annual DRP FWMC,milligrams / liter,0.074,,,
Sandusky,2008,Annual Discharge,million cubic meters,"1,906",,,
Sandusky,2009,Annual Discharge,million cubic meters,946,,,
Sandusky,2010,Annual Discharge,million cubic meters,882,,,
Sandusky,2011,Annual Discharge,million cubic meters,1900,,,
Sandusky,2012,Annual Discharge,million cubic meters,1520,,,
Sandusky,2013,Annual Discharge,million cubic meters,1490,,,
Sandusky,2014,Annual Discharge,million cubic meters,1418,,,
