River,Year,Fraction,Unit,Value,,,,,,,,,,,,,
Maumee,2008,Annual TP Loading,Metric Tons,3560,,2008,2288,,,,,,,,,,
Maumee,2009,Annual TP Loading,Metric Tons,2160,,2009,2288,,,,,,,,,,
Maumee,2010,Annual TP Loading,Metric Tons,1530,,2010,2288,,,,,,,,,,
Maumee,2011,Annual TP Loading,Metric Tons,2780,,2011,2288,,,,,,,,,,
Maumee,2012,Annual TP Loading,Metric Tons,2230,,2012,2288,,,,,,,,,,
Maumee,2013,Annual TP Loading,Metric Tons,2130,,2013,2288,,,,,,,,,,
Maumee,2014,Annual TP Loading,Metric Tons,1960,,2014,2288,,,,,,,,,,
Maumee,2015,Annual TP Loading,Metric Tons,2200,,2015,2288,,,,,,,,,,
Maumee,2016,Annual TP Loading,Metric Tons,1240,,2016,2288,,,,,,,,,,
Maumee,2008,Annual DRP Loading,Metric Tons,835,,,,,,,,,,,,,
Maumee,2009,Annual DRP Loading,Metric Tons,346,,,,,,,,,,,,,
Maumee,2010,Annual DRP Loading,Metric Tons,404,,,,,,,,,,,,,
Maumee,2011,Annual DRP Loading,Metric Tons,570,,,,,,,,,,,,,
Maumee,2012,Annual DRP Loading,Metric Tons,614,,,,,,,,,,,,,
Maumee,2013,Annual DRP Loading,Metric Tons,468,,,,,,,,,,,,,
Maumee,2014,Annual DRP Loading,Metric Tons,577,,,,,,,,,,,,,
Maumee,2015,Annual DRP Loading,Metric Tons,752,,,,,,,,,,,,,
Maumee,2016,Annual DRP Loading,Metric Tons,253,,,,,,,,,,,,,
Maumee,2008,Annual TP FWMC,milligrams / liter,0.444,,,,,,,,,,,,,
Maumee,2009,Annual TP FWMC,milligrams / liter,0.426,,,,,,,,,,,,,
Maumee,2010,Annual TP FWMC,milligrams / liter,0.329,,,,,,,,,,,,,
Maumee,2011,Annual TP FWMC,milligrams / liter,0.446,,,,,,,,,,,,,
Maumee,2012,Annual TP FWMC,milligrams / liter,0.374,,,,,,,,,,,,,
Maumee,2013,Annual TP FWMC,milligrams / liter,0.423,,,,,,,,,,,,,
Maumee,2014,Annual TP FWMC,milligrams / liter,0.335,,,,,,,,,,,,,
Maumee,2015,Annual TP FWMC,milligrams / liter,0.331,,,,,,,,,,,,,
Maumee,2016,Annual TP FWMC,milligrams / liter,0.292,,,,,,,,,,,,,
Maumee,2008,Annual DRP FWMC,milligrams / liter,0.104,,,,,,,,,,,,,
Maumee,2009,Annual DRP FWMC,milligrams / liter,0.068,,,,,,,,,,,,,
Maumee,2010,Annual DRP FWMC,milligrams / liter,0.087,,,,,,,,,,,,,
Maumee,2011,Annual DRP FWMC,milligrams / liter,0.091,,,,,,,,,,,,,
Maumee,2012,Annual DRP FWMC,milligrams / liter,0.103,,,,,,,,,,,,,
Maumee,2013,Annual DRP FWMC,milligrams / liter,0.093,,,,,,,,,,,,,
Maumee,2014,Annual DRP FWMC,milligrams / liter,0.099,,,,,,,,,,,,,
Maumee,2015,Annual DRP FWMC,milligrams / liter,0.113,,,,,,,,,,,,,
Maumee,2016,Annual DRP FWMC,milligrams / liter,0.06,,,,,,,,,,,,,
